x1 [mol/mol],y1 [mol/mol]
0,0
0.004,0.025
0.04,0.217
0.085,0.38
0.134,0.51
0.161,0.56
0.18,0.59
0.234,0.66
0.308,0.724
0.369,0.779
0.397,0.787
0.475,0.819
0.56,0.847
0.631,0.867
0.714,0.885
0.79,0.904
0.848,0.92
0.897,0.947
0.928,0.952
0.942,0.96
0.948,0.963
0.954,0.966
1,1
